month,ua_browser_version,ua_browser,ua_form_factor,ua_os_version,ua_os,page_path,page_resource_id,page_type,page_url,location_city,location_region,location_country,referrer_host,referrer_name,referrer_path,referrer_source,referrer_terms,referrer_url,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion,avg_duration,total_bounce_rate,total_pageviews,total_visitors
2020-03,64,Chrome,Desktop,,Linux,/products/test,,Product,https://thebeardroller.com/products/test,Boardman,Oregon,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,134,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Santa Clara,California,United States,,,,Direct,,,1,1,0,0,0,1m4s,0,2,1
2020-03,64,Chrome,Desktop,,Linux,/apps/help-center,,App Generated,https://thebeardroller.com/apps/help-center,Boardman,Oregon,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,134,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Pearland,Texas,United States,,,,Direct,,,1,0,0,0,0,1m46s,0,6,1
2020-03,13,Mobile Safari,Mobile,13,iOS,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/5d3696da6c75dc26b5f11065e4e2c334,Pacoima,California,United States,thebeardroller.com,,,Direct,,thebeardroller.com,1,0,0,0,0,0s,1,1,1
2020-03,134,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,,,United Kingdom,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,,,United States,,,,Direct,,,1,1,0,0,0,14m53s,0,4,1
2020-03,134,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Dublin,Leinster,Ireland,,,,Direct,,,1,0,0,0,0,21s,0,2,1
2020-03,11,Samsung Internet,Mobile,9,Android,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/a2946fdc8684a6e136765b61a9ec579d,Abingdon,England,United Kingdom,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,77,HeadlessChrome,Desktop,,Linux,,,Homepage,https://smtpye5uf6uqt1qixz89s5ybihfphyb-9854287950.shopifypreview.com/,,,,,,,Direct,,,3,0,0,0,0,0s,1,3,3
2020-03,135,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Hartford,Wisconsin,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,Other,Other,Other,Other,Other,,,Homepage,https://thebeardroller.com/,Goodyear,Arizona,United States,,,,Direct,,,1,0,0,0,0,2m17s,0,2,1
2020-03,124,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,New York,New York,United States,,,,Direct,,,1,0,0,0,0,2m7s,0,2,1
2020-03,74,Firefox,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Madison,Wisconsin,United States,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,1,0,0,0,6m32s,0,4,1
2020-03,77,HeadlessChrome,Desktop,,Linux,,,Homepage,https://smtpye5uf6uqt1qixz89s5ybihfphyb-9854287950.shopifypreview.com/,,Virginia,United States,,,,Direct,,,5,0,0,0,0,0s,1,5,5
2020-03,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Jersey City,New Jersey,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,67,Opera,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Islamabad,Islamabad,Pakistan,,,,Direct,,,1,0,0,0,0,1m14s,0,3,1
2020-03,80,Chrome Mobile,Mobile,8,Android,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/dc33727de9bdfdabe5d0b0b71efcf789,Eastaboga,Alabama,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,12,Mobile Safari,Mobile,12,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR0PpYJ6v9bL1EaZZL4vcu7TUzyuxFz-MBa5rO3O-MFUcEmpmVNGv_fXpas,,,Ireland,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-03,64,Chrome,Desktop,,Linux,/pages/privacy-policy,27111686222,Custom Page,https://thebeardroller.com/pages/privacy-policy,Boardman,Oregon,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,77,HeadlessChrome,Desktop,,Linux,,,Homepage,https://2y3fl64pwgn00xrr5w78a5xdvuy4wcw-9854287950.shopifypreview.com/,,Virginia,United States,,,,Direct,,,2,0,0,0,0,0s,1,2,2
2020-03,77,HeadlessChrome,Desktop,,Linux,,,Homepage,https://2y3fl64pwgn00xrr5w78a5xdvuy4wcw-9854287950.shopifypreview.com/,Mountain View,California,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,13,Mobile Safari,Mobile,13,iOS,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/5d3696da6c75dc26b5f11065e4e2c334,Charlotte,North Carolina,United States,thebeardroller.com,,,Direct,,thebeardroller.com,3,0,0,0,0,0s,1,3,1
2020-03,18,Edge,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,North Versailles,Pennsylvania,United States,www.bing.com,Bing,/search,Search,beard roller,www.bing.com/search?q=beard+roller&form=EDGTCT&qs=AS&cvid=3b679475cd3140bc92aaf09cb5775c64&refig=2019247fd9014f8ce69f274f223123f1&cc=US&setlang=en-US&plvar=0&PC=HCTS,1,0,1,1,1,3m28s,0,10,1
2020-03,Other,Other,Other,Other,Other,,,Homepage,https://thebeardroller.com/,,,France,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,125,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Beirut,Beyrouth,Lebanon,,,,Direct,,,2,0,0,0,0,35s,0.5,3,1
2020-03,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,,,United Kingdom,r.search.yahoo.com,Yahoo!,/_ylt=AwrJS5XZxXNeURcACBd0g81Q;_ylu=X3oDMTByMWk2OWNtBGNvbG8DaXIyBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1584674393/RO=10/RU=https%3a%2f%2fthebeardroller.com%2f/RK=2/RS=GCTsGnr69ZfpG5i2qHG7hAek86Q-,Search,,r.search.yahoo.com/_ylt=AwrJS5XZxXNeURcACBd0g81Q;_ylu=X3oDMTByMWk2OWNtBGNvbG8DaXIyBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1584674393/RO=10/RU=https%3a%2f%2fthebeardroller.com%2f/RK=2/RS=GCTsGnr69ZfpG5i2qHG7hAek86Q-,1,0,0,0,0,1m21s,0,2,1
2020-03,114,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Woodbridge,Virginia,United States,,,,Direct,,,1,0,0,0,0,10s,0,2,1
2020-03,80,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Los Angeles,California,United States,,,,Direct,,,2,0,0,0,0,12m3s,0,6,1
2020-03,133,Instagram,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Taber,Alberta,Canada,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,0s,1,1,1
2020-03,64,Chrome,Desktop,,Linux,,,Homepage,https://thebeardroller.com/,Boardman,Oregon,United States,,,,Direct,,,2,0,0,0,0,0s,1,2,2
2020-03,64,Chrome,Desktop,,Linux,/pages/return-refund-policy,27111718990,Custom Page,https://thebeardroller.com/pages/return-refund-policy,Boardman,Oregon,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,77,HeadlessChrome,Desktop,,Linux,,,Homepage,https://2y3fl64pwgn00xrr5w78a5xdvuy4wcw-9854287950.shopifypreview.com/,,,,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,81,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,,,Colombia,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,0,0,0,0,0s,1,1,1
2020-04,135,Instagram,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,,North Carolina,United States,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,1m34s,0,2,1
2020-04,81,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Chelmsford,England,United Kingdom,uk.search.yahoo.com,Yahoo!,,Search,,uk.search.yahoo.com,1,0,0,0,0,44s,0,2,1
2020-04,81,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Bethesda,Maryland,United States,www.google.com,Google,,Search,,www.google.com,1,0,0,0,0,1m0s,0,4,1
2020-04,18,Edge,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Reading,England,United Kingdom,www.bing.com,Bing,/search,Search,beard roller,www.bing.com/search?q=beard+roller&form=EDGTCT&qs=PF&cvid=0bc209d3053b4af8a20b95ab62f0e6e5&refig=9ced0c894f724330975566bee7ccf7af&cc=GB&setlang=en-GB&elv=AQj93OAhDTi*HzTv1paQdng9tOsqIBMAjolRLwvexvYf%214fBDRuI4YZoqg04HE404%21cl2uUpcatPtk*uaSBaursqOBJub2utZZti4U91B1KN&plvar=0&PC=HCTS,1,0,0,0,0,0s,1,1,1
2020-04,75,Firefox,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Baltimore,Maryland,United States,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,9m13s,0,7,1
2020-04,18,Edge,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Dallas,Texas,United States,www.bing.com,Bing,/search,Search,micro needle beard roller,www.bing.com/search?q=micro+needle+beard+roller&form=EDGEAR&qs=HS&cvid=1e12bec81cba454b97588c9114dd19d5&cc=US&setlang=en-US&elv=AQj93OAhDTi*HzTv1paQdniMHBVXy4e7jFbRQmC36ZUdzY4jyyT8QKvMjIavx1MVRbBbl%21xIg4Bx*8QVu6U4wyRbLxta7qUFS9CXbzugzTM2&plvar=0,1,1,1,1,1,10m17s,0,19,1
2020-04,81,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Sittingbourne,England,United Kingdom,oceanhero.today,,/web,Unknown,,oceanhero.today/web?q=beard+roller,1,0,0,0,0,0s,1,1,1
2020-04,18,Edge,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,,,United Kingdom,www.bing.com,Bing,/search,Search,beard roller,www.bing.com/search?q=beard+roller&form=EDGNTT&qs=PF&cvid=563bf3835a1943a794eaef7136c2a374&refig=e37ffc18938747ceabc76acdcff6aab8&cc=GB&setlang=en-GB&elv=AXXfrEiqqD9r3GuelwApulpKK9jVU2aUNMz*yFdTp36vwD6u2d9ALJV1Doxan9Q%21NGEeWshQHXt2osatxtGYT2H84NukfVL8dF%21vxzBZZRTW&plvar=0,1,0,0,0,0,11s,0,2,1
2020-04,81,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Whitchurch,England,United Kingdom,uk.search.yahoo.com,Yahoo!,,Search,,uk.search.yahoo.com,1,0,0,0,0,5s,0,2,1
2020-04,18,Edge,Desktop,10,Windows,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,Las Cruces,New Mexico,United States,thebeardroller.com,,,Direct,,thebeardroller.com,1,0,0,0,0,15s,0,2,1
2020-04,81,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Tacoma,Washington,United States,www.bing.com,Bing,,Search,,www.bing.com,2,0,0,0,0,0s,1,2,1
2020-04,64,Chrome,Desktop,,Linux,,,Homepage,https://thebeardroller.com/,Boardman,Oregon,United States,,,,Direct,,,4,0,0,0,0,0s,1,4,4
2020-04,81,Chrome,Desktop,7,Windows,,,Homepage,https://thebeardroller.com/,Glasgow,Scotland,United Kingdom,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,1m26s,0,5,1
2020-04,64,Chrome,Desktop,,Linux,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,Boardman,Oregon,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,81,Chrome Mobile,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Newcastle upon Tyne,England,United Kingdom,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,64,Chrome,Desktop,,Linux,/pages/privacy-policy,27111686222,Custom Page,https://thebeardroller.com/pages/privacy-policy,Boardman,Oregon,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,81,Chrome Mobile,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Aurora,Colorado,United States,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,0s,1,1,1
2020-04,64,Chrome,Desktop,,Linux,/pages/contact-us,27111784526,Custom Page,https://thebeardroller.com/pages/contact-us,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,81,Chrome Mobile,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Shotts,Scotland,United Kingdom,www.qwant.com,,,Unknown,,www.qwant.com,1,0,0,0,0,34s,0,3,1
2020-04,140,Instagram,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Philadelphia,Pennsylvania,United States,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,5s,0,2,1
2020-04,136,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,El Paso,Texas,United States,,,,Direct,,,1,0,0,0,0,1m20s,0,2,1
2020-04,135,Instagram,Mobile,8,Android,,,Homepage,https://thebeardroller.com/,Sydney,New South Wales,Australia,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,0s,1,1,1
2020-04,80,Chrome Mobile,Mobile,10,Android,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/14bc073ccc8ccf77f490f603bf3c20cd,North Versailles,Pennsylvania,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,134,Instagram,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,,,United Kingdom,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,1m38s,0,5,1
2020-04,13,Edge,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Brisbane,Queensland,Australia,www.bing.com,Bing,/search,Search,beard roller,www.bing.com/search?q=beard+roller&FORM=HDRSC1,1,0,0,0,0,7m59s,0,4,1
2020-04,80,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Madison,Connecticut,United States,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,0s,1,1,1
2020-04,75,Firefox,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Fairfax,Virginia,United States,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,0,0,0,0,0s,1,1,1
2020-04,138,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Philadelphia,Pennsylvania,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,135,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Santa Ana,California,United States,,,,Direct,,,1,0,0,0,0,1m13s,0,2,1
2020-04,137,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,San Antonio,Texas,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,13,Mobile Safari,Mobile,13,iOS,/checkouts,,Checkout,https://thebeardroller.com/9854287950/checkouts/241b53f6c80bddcb9738a0f4c6fa5634?utm_campaign=shopify_cart_reminder&utm_medium=email&utm_source=abandoned_cart,Mexico City,Mexico City,Mexico,,,,Direct,,,1,0,0,0,0,24s,0,2,1
2020-04,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,West Haverstraw,New York,United States,,,,Direct,,,2,0,0,0,0,0s,1,2,1
2020-04,18,Edge,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Stillwater,Minnesota,United States,www.bing.com,Bing,/search,Search,beard roller,www.bing.com/search?q=beard+roller&form=EDGTCT&qs=AS&cvid=e094f0e2cc04477194a50662ddf5b931&refig=255cc2852d744400d6bd12b235062f14&cc=US&setlang=en-US&elv=AY3%21uAY7tbNNZGZ2yiGNjfNmXys%214l6ME55QHFeDJiSfBmjlkI8lFIWku5WlVjwHkwjMBGIVPRbi1AjRTOoLeE9dvGk8xhDYEJ2V76JuAhXp&plvar=0,1,0,0,0,0,0s,1,1,1
2020-04,81,Chrome Mobile,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,The Colony,Texas,United States,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,0s,1,1,1
2020-04,76,Chrome,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,,Virginia,United States,,,,Direct,,,1,0,0,0,0,49s,0,8,1
2020-04,136,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Jacksonville,Florida,United States,,,,Direct,,,1,0,0,0,0,54s,0,3,1
2020-04,80,Chrome,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,Sherwood Park,Alberta,Canada,ca.search.yahoo.com,Yahoo!,,Search,,ca.search.yahoo.com,1,0,0,0,0,1m1s,0,7,1
2020-04,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Mount Vernon,New York,United States,,,,Direct,,,3,0,0,0,0,0s,1,3,1
2020-04,70,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Beauharnois,Quebec,Canada,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,135,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Pacoima,California,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,80,Chrome Mobile WebView,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Innsbruck,Tyrol,Austria,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,0,0,0,0,0s,1,1,1
2020-04,11,Samsung Internet,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Upper Marlboro,Maryland,United States,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,0,0,0,0,0s,1,1,1
2020-04,138,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Haberfield,New South Wales,Australia,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,13,Mobile Safari,Mobile,13,iOS,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/d1aeaf30ebc301e920e7df8c40b47a9f,West Haverstraw,New York,United States,,,,Direct,,,6,0,0,0,0,0s,1,6,4
2020-04,137,Instagram,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Canico,Madeira,Portugal,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,0s,1,1,1
2020-04,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Matthews,North Carolina,United States,r.search.yahoo.com,Yahoo!,/_ylt=Awr9DWdhLJJeAYwA7IZx.9w4;_ylu=X3oDMTByYnR1Zmd1BGNvbG8DZ3ExBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1586666721/RO=10/RU=https%3a%2f%2fthebeardroller.com%2f/RK=2/RS=245kvg0sG74teQPRaS8iIlQX_UM-,Search,,r.search.yahoo.com/_ylt=Awr9DWdhLJJeAYwA7IZx.9w4;_ylu=X3oDMTByYnR1Zmd1BGNvbG8DZ3ExBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1586666721/RO=10/RU=https%3a%2f%2fthebeardroller.com%2f/RK=2/RS=245kvg0sG74teQPRaS8iIlQX_UM-,1,0,0,0,0,0s,1,1,1
2020-04,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Dallas,Texas,United States,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,0,1,1,1,34m36s,0,8,1
2020-04,79,Chrome Mobile,Mobile,9,Android,/checkouts,,Checkout,https://thebeardroller.com/9854287950/checkouts/270c0ba3e46994aad6f63cd253055ca7?utm_campaign=shopify_cart_reminder&utm_medium=email&utm_source=abandoned_cart,Johannesburg,Gauteng,South Africa,,,,Direct,,,1,0,0,0,0,30s,0,2,1
2020-04,133,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Los Angeles,California,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,80,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Bowling Green,Ohio,United States,search.yahoo.com,Yahoo!,,Search,,search.yahoo.com,1,0,0,0,0,0s,1,1,1
2020-04,11,IE,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Denver,Colorado,United States,www.bing.com,Bing,/search,Search,the beard roller,www.bing.com/search?q=the+beard+roller&form=IENTHT&mkt=en-us&httpsmsn=1&msnews=1&refig=bc83034514824bd594665854365ed527&sp=-1&pq=the+beard+roller&sc=3-16&qs=n&sk=&cvid=bc83034514824bd594665854365ed527,1,0,0,0,0,0s,1,1,1
2020-04,80,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Newbury Park,California,United States,search.yahoo.com,Yahoo!,,Search,,search.yahoo.com,1,0,0,0,0,9s,0,3,1
2020-04,136,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Whitby,Ontario,Canada,,,,Direct,,,1,0,0,0,0,1m4s,0,4,1
2020-04,12,Safari,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,Markham,Ontario,Canada,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,11m52s,0,10,1
2020-04,136,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Lorient,Brittany,France,,,,Direct,,,1,0,0,0,0,51s,0,4,1
2020-04,80,Chrome,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,Los Angeles,California,United States,search.yahoo.com,Yahoo!,,Search,,search.yahoo.com,1,0,0,0,0,4m23s,0,5,1
2020-04,258,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Motherwell,Scotland,United Kingdom,,,,Direct,,,1,0,0,0,0,9s,0,2,1
2020-04,138,Instagram,Mobile,8,Android,,,Homepage,https://thebeardroller.com/,Winnipeg,Manitoba,Canada,l.instagram.com,Instagram,,Social,,l.instagram.com,1,1,1,1,1,6m52s,0,15,1
2020-04,75,Firefox,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Québec,Quebec,Canada,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,6m30s,0,2,1
2020-04,80,Chrome Mobile,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Penticton,British Columbia,Canada,,,,Direct,,,1,1,0,0,0,53s,0,3,1
2020-04,135,Instagram,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Farsta strand,Stockholm,Sweden,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,8s,0,2,1
2020-04,79,Chrome Mobile,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Pretoria,Gauteng,South Africa,,,,Direct,,,1,0,1,0,0,6m46s,0,11,1
2020-04,135,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Gaithersburg,Maryland,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,80,Chrome Mobile,Mobile,8,Android,,,Homepage,https://thebeardroller.com/,,,United States,www.google.com,Google,,Search,,www.google.com,1,1,0,0,0,6m4s,0,10,1
2020-04,135,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Dumfries,Virginia,United States,,,,Direct,,,1,0,0,0,0,1m29s,0,3,1
2020-04,138,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Mexico City,Mexico City,Mexico,,,,Direct,,,1,0,1,0,0,5m25s,0,5,1
2020-04,135,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,West Haverstraw,New York,United States,,,,Direct,,,3,0,1,1,0.33333,2m2s,0.66666,11,2
2020-04,137,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Rocky Mount,North Carolina,United States,,,,Direct,,,1,0,0,0,0,40s,0,4,1
2020-04,11,Safari,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,Douglasville,Georgia,United States,,,,Direct,,,1,0,0,0,0,12s,0,2,1
2020-04,18,Edge,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Tullahoma,Tennessee,United States,www.bing.com,Bing,/search,Search,beard roller,www.bing.com/search?q=beard+roller&qs=AS&pq=beard+rol&sc=5-9&cvid=65DB17CB7F6A4056BCE02A331ABF14AA&FORM=QBRE&sp=1&ghc=1,1,0,0,0,0,0s,1,1,1
2020-04,13,Safari,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,,,Belgium,,,,Direct,,,1,0,0,0,0,43s,0,2,1
2020-04,137,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Paris,Île-de-France,France,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-04,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Rose Hill,Kansas,United States,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,0,0,0,0,6s,0,2,1
2020-04,138,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Valdosta,Georgia,United States,,,,Direct,,,1,0,1,1,1,2m23s,0,3,1
